Personaje,Sexo,Comprobado
MAYORAL,MALE,True
CASIO,MALE,True
SILVESTRE,MALE,True
MAJENCIO,MALE,True
ASTREA,FEMALE,True
ZABULÓN,MALE,True
LOS VILLANOS,MALE,True
NOTICIA,FEMALE,True
SAN PEDRO,MALE,True
SAN PABLO,MALE,True
ELENA,FEMALE,True
GUERRA,FEMALE,True
PAZ,FEMALE,True
OCIO,MALE,True
SEGLAR,MALE,True
ECLESIÁSTICO,MALE,True
AMBOS,MALE,True
ISAÍAS,MALE,True
PERSIA,FEMALE,True
ETIOPÍA,FEMALE,True
ARMENIA,FEMALE,True
CITIA,FEMALE,True
PADMOS,MALE,True
ESPAÑA,FEMALE,True
POBRE,MALE,True
VIDA,FEMALE,True
LA CULPA,FEMALE,True
IGNORANCIA,FEMALE,True
SABIDURÍA,FEMALE,True
BAUTISTA,MALE,True
CRISTO,MALE,True
EVANGELISTA,MALE,True
LUCAS,MALE,True
DUQUE,MALE,True
MATEO,MALE,True
ORACIÓN,FEMALE,True
CORO,MALE,True
BEATRIZ,FEMALE,True
ELVIRA,FEMALE,True
ELVIA,FEMALE,True
LEONOR,FEMALE,True
CAPITÁN,MALE,True
DON FERNANDO,MALE,True
ROQUE,MALE,True
ALGUACIL,MALE,True
FERNANDO,MALE,True
ISABEL,FEMALE,True
LUIS,MALE,True
LEONO,FEMALE,True
ESCUDERO,MALE,True
DON,MALE,True
LOS OTROS,MALE,True
LAURETA,FEMALE,True
CON LOS OTROS,MALE,True
BUEN GENIO,MALE,True
MAL GENIO,MALE,True
INOCENCIA,FEMALE,True
HUMILDAD,FEMALE,True
DESENGAÑO,MALE,True
NABUCO,MALE,True
HABACÚ,MALE,True
AZARÍAS,MALE,True
ANANÍAS,MALE,True
MISAEL,MALE,True
ARFAJAT,MALE,True
DONOSOR,MALE,True
GABRIEL,MALE,True
MÚSICA TODOS,DIVERSE,True
TODO[S],DIVERSE,True
PRUDENCIA,FEMALE,True
TEMPLANZA,FEMALE,True
FORTALEZA,FEMALE,True
BARAC,MALE,True
VILLANOS,MALE,True
MORFUZ,MALE,True
HABER,MALE,True
JAEL,MALE,True
SÍSARA,FEMALE,True
DÉBORA,FEMALE,True
PRIMERO,MALE,True
SEGUNDO,MALE,True
LAS OTRAS,FEMALE,True
DESEO,MALE,True
PRIMERA [VISTA],FEMALE,True
PRIMERA,FEMALE,True
MEMORIA,FEMALE,True
POTENCIAS,MALE,True
MERCAD.,MALE,True
PODER,MALE,True
